,note01,note02,note03,note04,note05,note06,note07,note08,note09,note10
398,44,53,73,77,80,82,85,0,0,0
399,53,56,73,77,80,85,0,0,0,0
400,73,77,85,0,0,0,0,0,0,0
401,73,77,82,0,0,0,0,0,0,0
402,37,49,73,77,80,85,0,0,0,0
403,73,77,80,85,0,0,0,0,0,0
404,41,72,75,84,0,0,0,0,0,0
405,51,53,57,72,75,81,84,0,0,0
406,34,46,74,77,80,82,86,0,0,0
407,74,77,0,0,0,0,0,0,0,0
408,53,56,58,62,72,77,80,84,0,0
409,41,70,80,82,0,0,0,0,0,0
410,56,58,62,74,0,0,0,0,0,0
411,74,77,80,82,86,0,0,0,0,0
412,46,58,74,77,80,82,86,0,0,0
413,56,58,62,72,77,80,84,0,0,0
414,41,70,77,82,0,0,0,0,0,0
415,56,58,62,70,80,0,0,0,0,0
416,66,0,0,0,0,0,0,0,0,0
417,39,51,70,75,78,0,0,0,0,0
418,41,74,77,80,0,0,0,0,0,0
419,56,58,62,70,0,0,0,0,0,0
420,66,70,75,78,0,0,0,0,0,0
421,39,51,66,70,75,78,0,0,0,0
422,38,50,65,70,77,0,0,0,0,0
423,39,51,66,70,78,0,0,0,0,0
424,54,58,70,75,78,82,0,0,0,0
425,42,54,73,78,82,85,0,0,0,0
426,56,61,65,79,0,0,0,0,0,0
427,46,68,74,77,82,0,0,0,0,0
428,56,58,61,77,0,0,0,0,0,0
429,46,55,67,70,73,77,0,0,0,0
430,67,70,73,77,0,0,0,0,0,0
431,45,55,67,73,0,0,0,0,0,0
432,49,56,65,68,73,0,0,0,0,0
433,49,53,56,58,68,73,80,0,0,0
434,49,53,56,58,0,0,0,0,0,0
435,49,53,56,58,73,0,0,0,0,0
436,49,53,56,58,71,83,0,0,0,0
437,38,50,68,80,0,0,0,0,0,0
438,39,51,68,72,75,0,0,0,0,0
439,51,56,60,77,0,0,0,0,0,0
440,32,68,72,0,0,0,0,0,0,0
441,44,56,68,75,0,0,0,0,0,0
442,43,55,68,77,0,0,0,0,0,0
443,46,55,67,70,75,0,0,0,0,0
444,55,58,75,77,0,0,0,0,0,0
445,67,70,0,0,0,0,0,0,0,0
446,39,67,70,0,0,0,0,0,0,0
447,48,56,0,0,0,0,0,0,0,0
448,49,58,0,0,0,0,0,0,0,0
449,49,55,58,67,77,0,0,0,0,0
450,39,75,0,0,0,0,0,0,0,0
451,67,70,77,0,0,0,0,0,0,0
452,44,56,68,72,0,0,0,0,0,0
453,51,56,60,72,0,0,0,0,0,0
454,44,56,68,72,80,0,0,0,0,0
455,44,56,75,0,0,0,0,0,0,0
456,42,54,68,77,0,0,0,0,0,0
457,41,53,75,0,0,0,0,0,0,0
458,37,49,68,80,0,0,0,0,0,0
459,56,61,65,73,77,0,0,0,0,0
460,44,68,80,0,0,0,0,0,0,0
461,56,61,65,68,77,0,0,0,0,0
462,49,61,68,73,77,80,0,0,0,0
463,49,61,68,77,0,0,0,0,0,0
464,48,60,71,77,83,0,0,0,0,0
465,49,61,70,82,0,0,0,0,0,0
466,50,62,68,74,77,0,0,0,0,0
467,51,56,60,68,72,75,80,0,0,0
468,51,56,60,72,77,0,0,0,0,0
469,61,65,68,0,0,0,0,0,0,0
470,37,49,61,65,68,0,0,0,0,0
471,38,50,62,65,68,0,0,0,0,0
472,38,50,62,70,0,0,0,0,0,0
473,39,51,63,68,0,0,0,0,0,0
474,40,52,63,72,0,0,0,0,0,0
475,41,53,63,73,0,0,0,0,0,0
476,63,67,69,72,0,0,0,0,0,0
477,46,53,56,62,68,71,0,0,0,0
478,62,72,0,0,0,0,0,0,0,0
479,46,53,56,71,0,0,0,0,0,0
480,51,55,58,61,68,0,0,0,0,0
481,51,55,58,70,0,0,0,0,0,0
482,60,63,68,0,0,0,0,0,0,0
483,44,56,60,63,68,0,0,0,0,0
484,51,56,0,0,0,0,0,0,0,0
485,56,60,0,0,0,0,0,0,0,0
486,37,44,68,73,77,80,0,0,0,0
487,37,44,49,0,0,0,0,0,0,0
488,32,44,56,61,65,68,0,0,0,0
489,44,49,0,0,0,0,0,0,0,0
490,37,44,68,77,80,0,0,0,0,0
491,44,49,70,82,0,0,0,0,0,0
492,71,77,83,0,0,0,0,0,0,0
493,38,44,71,77,83,0,0,0,0,0
494,44,50,68,77,80,0,0,0,0,0
495,39,44,51,68,72,75,0,0,0,0
496,44,51,0,0,0,0,0,0,0,0
497,27,77,0,0,0,0,0,0,0,0
498,44,51,72,0,0,0,0,0,0,0
499,32,44,68,72,75,0,0,0,0,0
500,31,43,0,0,0,0,0,0,0,0
501,32,44,75,0,0,0,0,0,0,0
502,33,45,74,0,0,0,0,0,0,0
503,34,39,46,61,67,70,73,0,0,0
504,46,51,0,0,0,0,0,0,0,0
505,39,51,61,73,0,0,0,0,0,0
506,46,51,70,0,0,0,0,0,0,0
507,61,67,70,73,0,0,0,0,0,0
508,34,46,61,67,70,73,0,0,0,0
509,63,67,70,75,0,0,0,0,0,0
510,39,51,62,70,74,0,0,0,0,0
511,43,55,61,67,70,73,0,0,0,0
512,44,51,56,68,72,0,0,0,0,0
513,44,51,71,0,0,0,0,0,0,0
514,32,72,0,0,0,0,0,0,0,0
515,37,44,68,73,80,0,0,0,0,0
516,37,44,49,68,73,77,0,0,0,0
517,32,68,73,77,80,0,0,0,0,0
518,44,49,68,73,77,0,0,0,0,0
519,68,73,77,80,0,0,0,0,0,0
520,37,49,68,73,77,80,0,0,0,0
521,71,73,77,83,0,0,0,0,0,0
522,36,48,0,0,0,0,0,0,0,0
523,37,49,70,73,77,82,0,0,0,0
524,38,50,68,73,77,0,0,0,0,0
525,39,51,72,75,80,0,0,0,0,0
526,39,72,75,0,0,0,0,0,0,0
527,48,53,57,65,0,0,0,0,0,0
528,64,0,0,0,0,0,0,0,0,0
529,48,53,57,64,0,0,0,0,0,0
530,48,53,57,77,0,0,0,0,0,0
531,48,53,57,69,0,0,0,0,0,0
532,46,53,58,65,73,0,0,0,0,0
533,65,73,0,0,0,0,0,0,0,0
534,48,53,57,72,0,0,0,0,0,0
535,65,70,0,0,0,0,0,0,0,0
536,49,58,65,70,0,0,0,0,0,0
537,50,56,59,62,68,71,0,0,0,0
538,51,56,60,63,72,0,0,0,0,0
539,51,56,60,63,0,0,0,0,0,0
540,39,61,70,0,0,0,0,0,0,0
541,44,51,56,60,63,68,0,0,0,0
542,32,44,68,72,75,80,0,0,0,0
543,68,73,75,80,0,0,0,0,0,0
544,73,75,0,0,0,0,0,0,0,0
545,44,52,68,72,77,0,0,0,0,0
546,44,53,75,0,0,0,0,0,0,0
547,55,58,76,0,0,0,0,0,0,0
548,52,56,59,62,64,68,71,76,0,0
549,52,56,59,62,68,71,0,0,0,0
550,51,56,60,63,72,75,0,0,0,0
551,52,56,59,62,64,71,76,0,0,0
552,52,56,59,62,64,76,0,0,0,0
553,51,56,60,63,68,72,75,0,0,0
554,50,53,56,59,62,65,71,0,0,0
555,62,71,0,0,0,0,0,0,0,0
556,53,56,59,62,65,68,0,0,0,0
557,53,56,59,62,68,71,77,0,0,0
558,53,56,59,62,68,71,74,0,0,0
559,56,59,62,71,74,80,0,0,0,0
560,56,59,62,71,0,0,0,0,0,0
561,53,56,59,62,65,71,0,0,0,0
562,62,65,68,71,80,83,86,89,92,0
563,80,83,86,89,92,0,0,0,0,0
564,80,87,89,0,0,0,0,0,0,0
565,64,68,71,72,80,0,0,0,0,0
566,62,65,71,74,80,0,0,0,0,0
567,51,56,60,63,69,0,0,0,0,0
568,48,63,0,0,0,0,0,0,0,0
569,51,61,67,70,0,0,0,0,0,0
570,32,44,60,63,66,70,71,0,0,0
571,36,48,71,0,0,0,0,0,0,0
572,36,48,63,67,69,71,72,0,0,0
573,36,48,63,67,72,0,0,0,0,0
574,31,43,72,0,0,0,0,0,0,0
575,66,72,75,0,0,0,0,0,0,0
576,32,44,66,72,75,0,0,0,0,0
577,31,43,65,71,74,0,0,0,0,0
578,35,47,0,0,0,0,0,0,0,0
579,34,46,0,0,0,0,0,0,0,0
580,33,45,0,0,0,0,0,0,0,0
581,32,44,63,67,72,0,0,0,0,0
582,36,0,0,0,0,0,0,0,0,0
583,41,53,68,72,74,76,77,0,0,0
584,41,53,68,72,77,0,0,0,0,0
585,36,48,77,0,0,0,0,0,0,0
586,71,77,80,0,0,0,0,0,0,0
587,37,49,71,77,80,0,0,0,0,0
588,36,48,70,76,79,0,0,0,0,0
589,38,50,0,0,0,0,0,0,0,0
590,37,49,68,72,77,0,0,0,0,0
591,41,0,0,0,0,0,0,0,0,0
592,41,53,68,72,0,0,0,0,0,0
593,41,53,65,68,72,0,0,0,0,0
594,65,67,71,0,0,0,0,0,0,0
595,43,55,65,67,71,0,0,0,0,0
596,43,55,59,65,68,0,0,0,0,0
597,38,50,59,65,68,0,0,0,0,0
598,43,55,60,63,67,0,0,0,0,0
599,36,48,60,0,0,0,0,0,0,0
600,63,67,0,0,0,0,0,0,0,0
601,35,47,62,65,0,0,0,0,0,0
602,60,63,0,0,0,0,0,0,0,0
603,34,46,63,67,0,0,0,0,0,0
604,62,65,0,0,0,0,0,0,0,0
