,filename,part,staves,mc_mean,mn_mean
187,Maple_Leaf_Rag_in_B_Scott_Joplin.mscz,part_1,"[1, 2]",43.458483754512635,42.458483754512635
188,Maple_Leaf_Rag_in_G_major.mscz,part_1,"[1, 2]",43.51487553126898,42.51487553126898
189,Maple_Leaf_Rag_Jelly_Roll_Morton_Version.mscz,part_1,"[1, 2]",87.15394533264569,87.15394533264569
190,Maple_Leaf_Rag__EASY_key.mscz,part_1,"[1, 2]",43.51487553126898,42.51487553126898
191,Maple_Leaf_Rag__Scott_Joplin (1).mscz,part_1,"[1, 2]",43.48510638297872,40.85775075987842
192,Maple_leaf_rag__Scott_Joplin (2).mscz,part_1,"[1, 2]",43.47931873479319,43.47931873479319
193,Maple_leaf_rag__Scott_Joplin_Completed_Piece.mscz,part_1,"[1, 2]",44.021608643457384,43.021608643457384
194,MAPLE_LEAVE_RAG.mscz,part_1,"[1, 2]",42.960639606396064,42.960639606396064
195,MARCH_MAJESTIC.mscz,part_1,"[1, 2]",42.792494481236204,42.792494481236204
196,March_Majestic__Scott_Joplin.mscz,part_1,"[1, 2]",41.391304347826086,41.391304347826086
197,Max_-_Paolo_Conte_m._sp..mscz,part_1,"[1, 2]",11.64109589041096,11.64109589041096
198,Medic_Rag_by_Calvin_Woolsey_1910.mscz,part_3,[3],49.5,48.51020408163265
199,Michael_Bubl_-_Just_Havent_Met_You_Yet_Acapella.mscz,part_1,[1],44.77777777777778,44.77777777777778
200,Michael_Bubl_-_Just_Havent_Met_You_Yet_Acapella.mscz,part_2,[2],44.93684210526316,44.93684210526316
201,Michael_Bubl_-_Just_Havent_Met_You_Yet_Acapella.mscz,part_3,[3],45.14473684210526,45.14473684210526
202,Michael_Bubl_-_Just_Havent_Met_You_Yet_Acapella.mscz,part_4,[4],45.010471204188484,45.010471204188484
203,Monday_Chords_-_Anomalie.mscz,part_1,"[1, 2]",4.601156069364162,4.601156069364162
204,My_Favorite_Rag.mscz,part_1,"[1, 2]",43.62632978723404,43.62632978723404
205,Nocturne_No._9_Op._2.mscz,part_1,"[1, 2]",18.07936507936508,17.07936507936508
206,Nola_Lead_sheet__RAGTIME_VERSION.mscz,part_1,[1],27.553703703703704,27.553703703703704
